job_id,date,unloading_time_min,start_time,end_time,lat,long,vol_m3,weight_kg
205921,02-01-2024,16,10:00,23:00,51.541782,-0.119571,3.64,82
205922,02-01-2024,22,10:00,23:00,51.549544,-0.317543,1.77,103
216810,02-01-2024,17,10:00,23:00,51.542744,-0.04428,3.02,128
216811,02-01-2024,22,10:00,23:00,51.607627,-0.480161,2.44,61
223881,02-01-2024,11,10:00,23:00,51.401156,-0.000819,2.85,79
232878,02-01-2024,10,10:00,23:00,51.473643,-0.346956,1.67,96
232947,02-01-2024,33,10:00,23:00,51.371652,0.084668,1.88,187
232948,02-01-2024,29,10:00,23:00,51.539837,-0.24645,2.85,199
233193,02-01-2024,10,10:00,23:00,51.510879,-0.258375,2.76,80
233194,02-01-2024,10,10:00,23:00,51.452994,-0.164464,3.02,58
238684,02-01-2024,14,10:00,23:00,51.541102,-0.324825,3.7,74
241003,02-01-2024,10,10:00,23:00,51.378845,0.078465,1.59,44
241004,02-01-2024,12,10:00,23:00,51.55901,-0.122703,2.53,57
241699,02-01-2024,21,10:00,23:00,51.475383,-0.113882,3.78,140
241700,02-01-2024,24,10:00,23:00,51.450637,-0.35765,3.77,114
245053,02-01-2024,10,10:00,23:00,51.471064,-0.208878,1.36,75
245054,02-01-2024,10,10:00,23:00,51.540349,-0.19467,1.74,59
250110,02-01-2024,14,10:00,23:00,51.410282,-0.061284,0.97,89
250111,02-01-2024,10,10:00,23:00,51.533879,-0.093403,3.49,97
250264,02-01-2024,10,10:00,23:00,51.61087,-0.272245,1.86,74
250265,02-01-2024,10,10:00,23:00,51.518312,-0.205285,0.61,90
250972,02-01-2024,14,10:00,23:00,51.512999,-0.034323,1.5,90
250973,02-01-2024,12,10:00,23:00,51.525653,-0.132057,2.29,87
263117,02-01-2024,14,10:00,23:00,51.532839,-0.29206,3.08,63
272295,02-01-2024,15,10:00,23:00,51.593762,0.182243,1.75,73
272296,02-01-2024,18,10:00,23:00,51.58291,0.172508,1.75,78
276546,02-01-2024,41,10:00,23:00,51.372486,-0.1175,1.78,99
277366,02-01-2024,10,10:00,23:00,51.473712,-0.137344,2.64,25
279880,02-01-2024,28,10:00,23:00,51.535525,-0.388909,2.7,235
286921,02-01-2024,21,10:00,23:00,51.575904,-0.222847,3.54,150
286922,02-01-2024,22,10:00,23:00,51.525017,-0.176116,1.75,184
288656,02-01-2024,20,10:00,23:00,51.576756,-0.035056,2.98,77
292110,02-01-2024,35,10:00,23:00,51.50908,0.127009,5.55,285
292111,02-01-2024,37,10:00,23:00,51.414778,-0.177599,5.56,257
299376,02-01-2024,30,10:00,23:00,51.607641,-0.279171,3.72,310
299377,02-01-2024,27,10:00,23:00,51.582461,0.070062,3.72,278
311187,02-01-2024,12,10:00,23:00,51.537367,-0.123047,3.99,76
203816,03-01-2024,26,10:00,23:00,51.510079,-0.461211,3.9,71
203817,03-01-2024,26,10:00,23:00,51.539684,-0.193414,2.5,94
204091,03-01-2024,10,10:00,23:00,51.537483,-0.083266,0.95,91
204956,03-01-2024,15,10:00,23:00,51.473004,-0.099567,0.94,92
205876,03-01-2024,12,10:00,23:00,51.546571,-0.057197,3.38,76
205937,03-01-2024,15,10:00,23:00,51.547922,0.012707,3.41,81
206286,03-01-2024,50,10:00,23:00,51.592358,-0.108359,7.76,361
206287,03-01-2024,42,10:00,23:00,51.639975,-0.157812,7.76,412
208604,03-01-2024,20,10:00,23:00,51.538639,0.067202,2.48,152
208664,03-01-2024,22,10:00,23:00,51.536561,-0.001807,2.16,92
208665,03-01-2024,24,10:00,23:00,51.537846,-0.100991,1.22,135
208666,03-01-2024,10,10:00,23:00,51.569852,-0.071328,1.64,70
208667,03-01-2024,17,10:00,23:00,51.495972,-0.088977,3.34,91
