Vehicle,Route,Order,Customer,Weight
Vehicle 2,0 to 6 -> 6 to 0,Order 71,Customer 6,0.03
Vehicle 2,0 to 6 -> 6 to 0,Order 72,Customer 6,0.02
Vehicle 2,0 to 6 -> 6 to 0,Order 73,Customer 6,0.025
Vehicle 2,0 to 6 -> 6 to 0,Order 74,Customer 6,0.02
Vehicle 2,0 to 6 -> 6 to 0,Order 75,Customer 6,0.06
Vehicle 2,0 to 6 -> 6 to 0,Order 76,Customer 6,0.005
Vehicle 3,0 to 2 -> 2 to 0,Order 31,Customer 2,0.009000000000000001
Vehicle 3,0 to 2 -> 2 to 0,Order 32,Customer 2,0.005
Vehicle 3,0 to 2 -> 2 to 0,Order 33,Customer 2,0.009000000000000001
Vehicle 3,0 to 2 -> 2 to 0,Order 34,Customer 2,0.009000000000000001
Vehicle 3,0 to 2 -> 2 to 0,Order 35,Customer 2,0.005
Vehicle 3,0 to 2 -> 2 to 0,Order 36,Customer 2,0.005
Vehicle 3,0 to 2 -> 2 to 0,Order 37,Customer 2,0.003
Vehicle 3,0 to 2 -> 2 to 0,Order 38,Customer 2,0.005
Vehicle 4,No route assigned,No orders served,,
Vehicle 5,No route assigned,No orders served,,
